CMDLINE C:\Users\bhewl\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\python.exe main.py
MEM 1.703125 1635993597.8590
MEM 17.996094 1635993597.9699
MEM 25.617188 1635993598.0794
MEM 32.156250 1635993598.1891
MEM 37.695312 1635993598.2969
MEM 45.511719 1635993598.4084
MEM 49.835938 1635993598.5182
MEM 58.214844 1635993598.6287
MEM 65.695312 1635993598.7378
MEM 74.500000 1635993598.8472
MEM 84.128906 1635993598.9582
MEM 91.535156 1635993599.0693
MEM 97.343750 1635993599.1798
MEM 105.441406 1635993599.2901
MEM 111.718750 1635993599.3998
MEM 119.890625 1635993599.5099
MEM 124.023438 1635993599.6207
MEM 148.906250 1635993599.7318
MEM 167.746094 1635993599.8435
MEM 185.027344 1635993599.9542
MEM 198.781250 1635993600.0649
MEM 212.695312 1635993600.1757
MEM 229.488281 1635993600.2863
MEM 246.179688 1635993600.3971
MEM 261.363281 1635993600.5088
MEM 275.785156 1635993600.6195
MEM 292.238281 1635993600.7291
MEM 309.128906 1635993600.8388
MEM 312.308594 1635993600.9495
MEM 310.417969 1635993601.0600
MEM 509.785156 1635993601.1697
MEM 674.074219 1635993601.2794
MEM 310.195312 1635993601.3901
MEM 324.480469 1635993601.5008
MEM 318.324219 1635993601.6115
MEM 314.230469 1635993601.7212
MEM 323.058594 1635993601.8319
MEM 432.074219 1635993601.9416
MEM 407.585938 1635993602.0523
MEM 392.000000 1635993602.1630
MEM 384.164062 1635993602.2728
MEM 373.218750 1635993602.3835
MEM 359.406250 1635993602.4932
MEM 351.765625 1635993602.6039
MEM 347.441406 1635993602.7146
MEM 346.492188 1635993602.8233
MEM 344.523438 1635993602.9350
MEM 264.558594 1635993603.0447
MEM 264.679688 1635993603.1533
MEM 270.808594 1635993603.2650
MEM 286.882812 1635993603.3757
MEM 138.750000 1635993603.4848
MEM 139.093750 1635993603.5965
MEM 139.527344 1635993603.7072
MEM 139.886719 1635993603.8170
MEM 140.351562 1635993603.9276
MEM 140.011719 1635993604.0373
MEM 140.011719 1635993604.1471
MEM 140.011719 1635993604.2558
